Nombre;Mercurio;Venus;Tierra;Marte;Jupiter;Saturno;Urano;Neptuno;Nombre;
Tipo;Terrestre;Terrestre;Terrestre;Terrestre;Gigante gaseoso;Gigante gaseoso;Gigante de hielo;Gigante de hielo;Tipo;
Distancia al sol (km);57.909.227,00;108.209.475,00;149.598.262,00;129.765.322,00;772.712.265,00;1.498.220.100,00;2.600.000.000,00;4.477.409.393,00;Distancia al sol (km);
Radio (km);2.439,70;6.051,80;6.371,00;3.389,50;69.911,00;58.323,00;25.362,00;24.622,00;Radio (km);
Superficie (km)^2;74.797.000,00;;510.064.472,00;61.418.738.571,00;144.371.391,00;42.612.133.285,00;8.083.079.690,00;7.618.272.763,00;Superficie (km)^2;
Volumen(km)^3;60.827.208,74;928.415.345.893,00;1.083.206.916,85;163.115.609.799,00;1.431.281.810.739.360,00;827.129.915.150.897,00;68.334.355.695.584,00;62.525.703.987.421,00;Volumen(km)^3;
Masa (kg);3,30E+23;4,87E+24;5,97E+24;6,42E+23;1,90E+27;5,68E+26;8,68E+25;1,02E+26;Masa (kg);
Anillos (si/no);no;no;no;no;no;si;si;si;Anillos (si/no);
Temperatura media (K);440,00;737,00;287,20;227,00;152,00;143,00;68,00;53,00;Temperatura media (K);
Velelocidad orbital (km/h);170.503,00;126.074,00;107.218,00;86.677,00;47.002,00;34.701,00;24.477,00;19.566,00;Velelocidad orbital (km/h);
Gravedad (m/s^2);3,70;8,87;9,81;3,71;24,79;10,40;8,87;11,15;Gravedad (m/s^2);
Densidad(g/cm^3);5,43;5,24;5,51;3,93;3,93;0,69;1,27;1,64;Densidad(g/cm^3);
Periodo de rotacion (horas);1.407,60;2.792,00;24,00;24,00;10,00;10,70;17,00;16,00;Periodo de rotacion (horas);
Periodo de traslacion (Años);0,24;0,62;1,00;1,88;12,00;29,00;84,00;165,00;Periodo de traslacion (Años);
Lunas;0,00;0,00;1,00;2,00;75,00;53,00;27,00;14,00;Lunas;
Composición de la atmosfera;Oxígeno 42%;Dióxido de carbono 96,5%;Nitrógeno 78%;Dióxido de carbono 95%;Hidrógeno  87%;Hidrógeno 88%;Hidrógeno 82,5;Hidrógeno 84%;Composición de la atmosfera;
;Sodio 29%;Nitrógeno 3,5%;Oxigeno 21%;Nitrógeno 3%;Helio 11%;Helio 11%;Helio 15,2%;Helio 12%;;
;Hidrógeno 22%;;;Argón 1,6%;;;Metano 2,3%;Metano 2%;;
